year,province,track,batch,school_name,school_code,major_group,major_name,plan_type,min_score,min_rank,admit_count,source_url,source_name,notes
2024,上海,普通类,本科普通批,成都理工,83802,02,,普通类,474,26034,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西南科大,83901,01,,普通类,437,34923,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西南科大,83902,02,,普通类,438,34709,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西南科大,83903,03,,普通类,433,35806,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,成都信息,84001,01,,普通类,462,29014,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,成都信息,84002,02,,普通类,439,34482,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,成都信息,84003,03,,普通类,449,32134,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西华大学,84101,01,,普通类,444,33286,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西南医大,84201,01,,普通类,517,15249,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西华师大,84301,01,,普通类,428,36833,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,成都东软,84401,01,,普通类,414,39641,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,成都东软,84402,02,,普通类,408,40752,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西财天府,84501,01,,普通类,413,39823,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,四川轻化,84601,01,,普通类,432,36033,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,四川农大,84701,01,,普通类,514,15979,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,四川师大,84801,01,,普通类,505,18290,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,四川师大,84802,02,,普通类,442,33781,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,成都中医,84901,01,,普通类,527,12860,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,成都大学,85001,01,,普通类,460,29525,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,成都大学,85002,02,,普通类,469,27273,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,成都大学,85003,03,,普通类,469,27273,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,昆明理工,85101,01,,普通类,479,24795,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,昆明理工,85102,02,,普通类,483,23814,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,云南农大,85201,01,,普通类,422,38053,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,昆明医大,85301,01,,普通类,471,26748,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,大理大学,85401,01,,普通类,480,24562,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,大理大学,85402,02,,普通类,432,36033,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,云南师大,85501,01,,普通类,492,21473,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,云南师大,85502,02,,普通类,499,19729,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,云南财大,85601,01,,普通类,447,32641,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,云南警官,85701,01,,普通类,446,32860,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,滇池学院,85801,01,,普通类,404,41433,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,昆医海源,86001,01,,普通类,404,41433,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,云南大学,86201,01,,普通类,524,13538,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,云南大学,86202,02,,普通类,527,12860,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,云南大学,86203,03,,普通类,519,14753,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,云南大学,86204,04,,普通类,515,15734,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,云南民大,86401,01,,普通类,432,36033,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,云南民大,86402,02,,普通类,448,32390,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,云南民大,86403,03,,普通类,457,30232,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,贵州大学,86601,01,,普通类,523,13763,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,贵州大学,86602,02,,普通类,517,15249,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,贵州大学,86603,03,,普通类,510,17049,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,贵州大学,86604,04,,普通类,479,24795,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,贵州大学,86605,05,,普通类,479,24795,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,贵州财大,86701,01,,普通类,412,39998,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,贵州财大,86702,02,,普通类,422,38053,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,贵州中医,86801,01,,普通类,431,36222,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安交大,87101,01,,普通类,579,2831,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安交大,87102,02,,普通类,562,5544,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西电科大,87201,01,,普通类,571,3998,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,长安大学,87301,01,,普通类,539,10069,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,长安大学,87302,02,,普通类,524,13538,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,长安大学,87303,03,,普通类,520,14532,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西北农林,87401,01,,普通类,530,12143,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西北农林,87402,02,,普通类,541,9624,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西北农林,87403,03,,普通类,531,11919,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西北农林,87404,04,,普通类,528,12627,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,陕西师大,87501,01,,普通类,522,14026,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,陕西师大,87502,02,,普通类,534,11234,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,陕西师大,87503,03,,普通类,524,13538,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西北工大,87601,01,,普通类,573,3676,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西北工大,87602,02,,普通类,565,5019,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西北大学,87701,01,,普通类,523,13763,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西北大学,87702,02,,普通类,530,12143,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安理工,87801,01,,普通类,501,19243,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安工大,87901,01,,普通类,466,28028,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安工大,87902,02,,普通类,459,29755,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安建科,88001,01,,普通类,470,26996,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安建科,88002,02,,普通类,511,16761,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安建科,88003,03,,普通类,452,31399,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安建科,88004,04,,普通类,468,27525,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安建科,88005,05,,普通类,449,32134,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安科大,88101,01,,普通类,475,25819,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安科大,88102,02,,普通类,456,30473,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安石油,88201,01,,普通类,440,34239,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安石油,88202,02,,普通类,442,33781,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,陕西科大,88301,01,,普通类,475,25819,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,陕西科大,88302,02,,普通类,456,30473,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,陕西科大,88303,03,,普通类,457,30232,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,陕西理工,88401,01,,普通类,429,36629,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,陕西理工,88402,02,,普通类,431,36222,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,宝鸡文理,88501,01,,普通类,418,38869,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,渭南师范,88601,01,,普通类,405,41271,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安外大,88701,01,,普通类,476,25541,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西北政法,88801,01,,普通类,533,11462,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安培华,88901,01,,普通类,412,39998,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安培华,88902,02,,普通类,413,39823,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安培华,88903,03,,普通类,404,41433,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安财大,89001,01,,普通类,462,29014,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安邮电,89101,01,,普通类,519,14753,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西安思源,89201,01,,普通类,403,41594,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西交城市,89301,01,,普通类,407,40915,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,延安大学,89601,01,,普通类,431,36222,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,延安大学,89602,02,,普通类,426,37259,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西北民族,91101,01,,普通类,434,35570,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西北民族,91102,02,,普通类,438,34709,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西北民族,91103,03,,普通类,421,38266,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,西北民族,91104,04,,普通类,480,24562,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,兰州大学,91201,01,,普通类,555,6832,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,兰州大学,91202,02,,普通类,546,8561,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,兰州大学,91203,03,,普通类,539,10069,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,兰州理工,91301,01,,普通类,438,34709,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,兰州理工,91302,02,,普通类,436,35127,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
2024,上海,普通类,本科普通批,兰州理工,91303,03,,普通类,438,34709,,https://www.shmeea.edu.cn/download/20240719/198.pdf,上海市教育考试院,
