province,year,dataset,track,article_title,article_url,attachment_url,file_type,status,importer,notes
浙江,2025,rank_table,普通类,浙江省2025年普通高校招生成绩分数段表（总分）,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,https://www.zjzs.net/module/download/downfile.jsp?classid=0&showname=%E6%B5%99%E6%B1%9F%E7%9C%812025%E5%B9%B4%E6%99%AE%E9%80%9A%E9%AB%98%E6%A0%A1%E6%8B%9B%E7%94%9F%E6%88%90%E7%BB%A9%E5%88%86%E6%95%B0%E6%AE%B5%E8%A1%A8(%E6%80%BB%E5%88%86).pdf&filename=a5aea92c4e474db78c43d1a86934dd2e.pdf,pdf,imported,pdf_table_to_csv,普通类总分一分一段表
浙江,2024,rank_table,普通类,浙江省2024年普通高校招生成绩分数段表（总分）,https://www.zjzs.net/art/2024/6/26/art_45_9753.html,https://www.zjzs.net/module/download/downfile.jsp?classid=0&showname=%E6%B5%99%E6%B1%9F%E7%9C%812024%E5%B9%B4%E6%99%AE%E9%80%9A%E9%AB%98%E6%A0%A1%E6%8B%9B%E7%94%9F%E6%88%90%E7%BB%A9%E5%88%86%E6%95%B0%E6%AE%B5%E8%A1%A8%EF%BC%88%E6%80%BB%E5%88%86%EF%BC%89.pdf&filename=3a2fa631275c4ade92963934126d8062.pdf,pdf,imported,pdf_table_to_csv,普通类总分一分一段表
浙江,2023,rank_table,普通类,浙江省2023年普通高校招生成绩分数段表(总分),https://www.zjzs.net/art/2023/6/26/art_45_6936.html,https://www.zjzs.net/picture/0/plug-in/ueditor/jsp/upload/2023626/1687749056838007557.pdf,pdf,imported,pdf_table_to_csv,普通类总分一分一段表
浙江,2025,admission_cutoff,普通类,浙江省2025年普通高校招生普通类第一段平行投档分数线表,https://www.zjzs.net/art/2025/7/21/art_45_11467.html,https://www.zjzs.net/module/download/downfile.jsp?classid=0&showname=%E6%B5%99%E6%B1%9F%E7%9C%812025%E5%B9%B4%E6%99%AE%E9%80%9A%E9%AB%98%E6%A0%A1%E6%8B%9B%E7%94%9F%E6%99%AE%E9%80%9A%E7%B1%BB%E7%AC%AC%E4%B8%80%E6%AE%B5%E5%B9%B3%E8%A1%8C%E6%8A%95%E6%A1%A3%E5%88%86%E6%95%B0%E7%BA%BF%E8%A1%A8.xls&filename=8d8d48bdfabe4347b73ccc6009f328e4.xls,xls,imported,soffice_to_csv_then_normalize_data,普通类第一段专业投档线
浙江,2024,admission_cutoff,普通类,浙江省2024年普通高校招生普通类第一段平行投档分数线表,https://www.zjzs.net/art/2024/7/21/art_45_9899.html,https://www.zjzs.net/module/download/downfile.jsp?classid=0&showname=%E6%B5%99%E6%B1%9F%E7%9C%812024%E5%B9%B4%E6%99%AE%E9%80%9A%E9%AB%98%E6%A0%A1%E6%8B%9B%E7%94%9F%E6%99%AE%E9%80%9A%E7%B1%BB%E7%AC%AC%E4%B8%80%E6%AE%B5%E5%B9%B3%E8%A1%8C%E6%8A%95%E6%A1%A3%E5%88%86%E6%95%B0%E7%BA%BF%E8%A1%A8.xls&filename=80bebb3cf9b743aa800299669b4c6db5.xls,xls,imported,soffice_to_csv_then_normalize_data,普通类第一段专业投档线
浙江,2023,admission_cutoff,普通类,浙江省2023年普通高校招生普通类第一段平行投档分数线表,https://www.zjzs.net/art/2023/7/19/art_45_2052.html,https://www.zjzs.net/picture/0/plug-in/ueditor/jsp/upload/2023719/1689731170158052765.xls,xls,imported,soffice_to_csv_then_normalize_data,普通类第一段专业投档线
浙江,2025,admission_major_detail,普通类,浙江省普通高校招生投档及专业录取情况（2025）,https://www.zjzs.net/art/2026/6/22/art_45_12416.html,https://www.zjzs.net/module/download/downfile.jsp?classid=0&showname=%E6%B5%99%E6%B1%9F%E7%9C%81%E6%99%AE%E9%80%9A%E9%AB%98%E6%A0%A1%E6%8B%9B%E7%94%9F%E6%8A%95%E6%A1%A3%E5%8F%8A%E4%B8%93%E4%B8%9A%E5%BD%95%E5%8F%96%E6%83%85%E5%86%B5%EF%BC%882025%EF%BC%89.pdf&filename=31bcbe901d224ebc9505f2d1c9e9a578.pdf,pdf,discovered,pdf_table_to_csv,官方2026-06-22发布 后续用于更细专业录取校验
浙江,2024,admission_major_detail,普通类,浙江省普通高校招生投档及专业录取情况（2024）,https://www.zjzs.net/art/2026/6/22/art_45_12416.html,https://www.zjzs.net/module/download/downfile.jsp?classid=0&showname=%E6%B5%99%E6%B1%9F%E7%9C%81%E6%99%AE%E9%80%9A%E9%AB%98%E6%A0%A1%E6%8B%9B%E7%94%9F%E6%8A%95%E6%A1%A3%E5%8F%8A%E4%B8%93%E4%B8%9A%E5%BD%95%E5%8F%96%E6%83%85%E5%86%B5%EF%BC%882024%EF%BC%89.pdf&filename=295dcf296207484b8dfa397615f38bf8.pdf,pdf,discovered,pdf_table_to_csv,官方2026-06-22发布 后续用于更细专业录取校验
浙江,2023,admission_major_detail,普通类,浙江省普通高校招生投档及专业录取情况（2023）,https://www.zjzs.net/art/2026/6/22/art_45_12416.html,https://www.zjzs.net/module/download/downfile.jsp?classid=0&showname=%E6%B5%99%E6%B1%9F%E7%9C%81%E6%99%AE%E9%80%9A%E9%AB%98%E6%A0%A1%E6%8B%9B%E7%94%9F%E6%8A%95%E6%A1%A3%E5%8F%8A%E4%B8%93%E4%B8%9A%E5%BD%95%E5%8F%96%E6%83%85%E5%86%B5%EF%BC%882023%EF%BC%89.pdf&filename=8598b2f0dc0b491db72ae3715d7d6d6c.pdf,pdf,discovered,pdf_table_to_csv,官方2026-06-22发布 后续用于更细专业录取校验
