year,province,track,score,min_rank,max_rank,same_score_count,source_url,source_name
2025,浙江,普通类,647,12309,12852,544,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,646,12853,13406,554,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,645,13407,13941,535,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,644,13942,14489,548,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,643,14490,15035,546,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,642,15036,15626,591,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,641,15627,16192,566,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,640,16193,16817,625,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,639,16818,17433,616,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,638,17434,18134,701,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,637,18135,18815,681,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,636,18816,19448,633,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,635,19449,20114,666,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,634,20115,20890,776,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,633,20891,21651,761,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,632,21652,22365,714,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,631,22366,23127,762,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,630,23128,23836,709,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,629,23837,24600,764,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,628,24601,25365,765,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,627,25366,26164,799,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,626,26165,27005,841,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,625,27006,27798,793,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,624,27799,28606,808,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,623,28607,29480,874,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,622,29481,30381,901,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,621,30382,31221,840,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,620,31222,32114,893,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,619,32115,33035,921,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,618,33036,33926,891,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,617,33927,34876,950,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,616,34877,35870,994,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,615,35871,36835,965,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,614,36836,37785,950,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,613,37786,38811,1026,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,612,38812,39811,1000,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,611,39812,40819,1008,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,610,40820,41842,1023,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,609,41843,42849,1007,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,608,42850,43942,1093,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,607,43943,45001,1059,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,606,45002,46041,1040,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,605,46042,47051,1010,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,604,47052,48104,1053,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,603,48105,49197,1093,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,602,49198,50295,1098,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
2025,浙江,普通类,601,50296,51406,1111,https://www.zjzs.net/art/2025/6/25/art_45_11373.html,浙江省教育考试院
