year,province,track,score,min_rank,max_rank,same_score_count,source_url,source_name
2025,北京,普通类,647,3462,3590,129,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,646,3591,3712,122,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,645,3713,3841,129,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,644,3842,3976,135,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,643,3977,4102,126,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,642,4103,4245,143,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,641,4246,4368,123,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,640,4369,4517,149,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,639,4518,4674,157,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,638,4675,4834,160,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,637,4835,4989,155,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,636,4990,5139,150,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,635,5140,5304,165,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,634,5305,5441,137,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,633,5442,5597,156,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,632,5598,5749,152,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,631,5750,5919,170,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,630,5920,6087,168,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,629,6088,6251,164,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,628,6252,6399,148,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,627,6400,6561,162,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,626,6562,6740,179,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,625,6741,6896,156,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,624,6897,7064,168,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,623,7065,7249,185,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,622,7250,7440,191,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,621,7441,7613,173,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,620,7614,7804,191,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,619,7805,7983,179,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,618,7984,8158,175,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,617,8159,8325,167,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,616,8326,8526,201,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,615,8527,8721,195,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,614,8722,8923,202,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,613,8924,9134,211,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,612,9135,9327,193,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,611,9328,9523,196,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,610,9524,9714,191,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,609,9715,9914,200,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,608,9915,10111,197,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,607,10112,10332,221,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,606,10333,10538,206,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,605,10539,10753,215,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,604,10754,10979,226,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,603,10980,11195,216,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,602,11196,11426,231,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,601,11427,11659,233,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,600,11660,11883,224,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,599,11884,12103,220,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,598,12104,12318,215,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,597,12319,12555,237,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,596,12556,12777,222,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,595,12778,13015,238,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,594,13016,13220,205,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,593,13221,13436,216,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,592,13437,13650,214,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,591,13651,13897,247,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,590,13898,14102,205,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,589,14103,14358,256,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,588,14359,14588,230,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,587,14589,14810,222,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,586,14811,15084,274,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,585,15085,15321,237,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,584,15322,15547,226,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,583,15548,15792,245,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,582,15793,16019,227,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,581,16020,16237,218,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,580,16238,16470,233,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,579,16471,16724,254,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,578,16725,17004,280,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,577,17005,17264,260,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
2025,北京,普通类,576,17265,17506,242,https://www.bjeea.cn/html/gkgz/tzgg/2025/0625/87165.html,北京教育考试院
