province,source_type,source_name,url,verified_date,notes
山东,homepage,山东省教育招生考试院,https://www.sdzk.cn/,2026-06-24,山东省教育招生考试院官网
山东,rank_table,2025年夏季高考文化成绩一分一段表,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6943,2026-06-24,已导入普通类全体文化成绩一分一段表
山东,rank_table,2024年夏季高考文化成绩一分一段表,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6577,2026-06-24,已导入普通类全体文化成绩一分一段表
山东,rank_table,2023年夏季高考文化成绩一分一段表,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6212,2026-06-24,已导入普通类全体文化成绩一分一段表
山东,admission_cutoff,山东省2025年普通类常规批第1次志愿投档情况表,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6996,2026-06-24,已导入普通类常规批第1次志愿专业投档最低位次
山东,admission_cutoff,山东省2024年普通类常规批第1次志愿投档情况表,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6656,2026-06-24,已导入普通类常规批第1次志愿专业投档最低位次
山东,admission_cutoff,山东省2023年普通类常规批第1次志愿投档情况表,https://www.sdzk.cn/NewsInfo.aspx?NewsID=6279,2026-06-24,已导入普通类常规批第1次志愿专业投档最低位次
