province,year,dataset,track,article_title,article_url,attachment_url,file_type,status,importer,notes
河北,2025,rank_table,物理科目组合/历史科目组合,2025年河北省普通高校招生各类考生成绩统计表,https://www.hebeea.edu.cn/c/2025-06-24/488903.html,https://file.hebeea.edu.cn/files/article/2025/06/20250624193800_658.pdf,pdf,needs_ocr_review,ocr_dual_track_rank_pdf_macos,扫描 PDF；草稿生成到 rank_table_ocr_draft.csv；需复核 OCR warnings 后才能转入 pilot-data
河北,2024,rank_table,物理科目组合/历史科目组合,2024年河北省普通高校招生各类考生成绩统计表,https://www.hebeea.edu.cn/c/2024-06-24/489444.html,https://file.hebeea.edu.cn/files/article/2024/06/20240624195327_41.pdf,pdf,needs_ocr_review,ocr_dual_track_rank_pdf_macos,扫描 PDF；2024 历史高分段出现 66 误读为 99 等问题，不能直接用于推荐
河北,2023,rank_table,物理科目组合/历史科目组合,2023年河北省普通高校招生各类考生成绩统计表,https://www.hebeea.edu.cn/c/2023-06-24/488564.html,https://file.hebeea.edu.cn/files/article/2023/06/20230624203549_178.pdf,pdf,needs_ocr_review,ocr_dual_track_rank_pdf_macos,扫描 PDF；草稿需逐段复核
河北,2025,admission_cutoff,历史科目组合,2025年河北省本科批平行志愿投档情况统计,https://www.hebeea.edu.cn/c/2025-07-23/489213.html,https://file.hebeea.edu.cn/files/article/2025/07/20250722214851_332.xlsx,xlsx,discovered,normalize_data,官方 XLSX；header-row=3；需位次表复核后导入正式数据
河北,2025,admission_cutoff,物理科目组合,2025年河北省本科批平行志愿投档情况统计,https://www.hebeea.edu.cn/c/2025-07-23/489213.html,https://file.hebeea.edu.cn/files/article/2025/07/20250722214852_210.xlsx,xlsx,discovered,normalize_data,官方 XLSX；header-row=3；专业代号可映射到 major_group
河北,2024,admission_cutoff,历史科目组合,2024年河北省本科批平行志愿投档情况统计,https://www.hebeea.edu.cn/c/2024-07-22/489446.html,https://file.hebeea.edu.cn/files/article/2024/07/20240722163024_223.xlsx,xlsx,discovered,normalize_data,官方 XLSX；header-row=3
河北,2024,admission_cutoff,物理科目组合,2024年河北省本科批平行志愿投档情况统计,https://www.hebeea.edu.cn/c/2024-07-22/489446.html,https://file.hebeea.edu.cn/files/article/2024/07/20240722163024_933.xlsx,xlsx,discovered,normalize_data,官方 XLSX；header-row=3
河北,2023,admission_cutoff,历史科目组合,2023年河北省本科批平行志愿投档情况统计,https://www.hebeea.edu.cn/c/2023-07-25/489286.html,https://file.hebeea.edu.cn/files/article/2023/07/20230725082954_71.xlsx,xlsx,discovered,normalize_data,官方 XLSX；header-row=3
河北,2023,admission_cutoff,物理科目组合,2023年河北省本科批平行志愿投档情况统计,https://www.hebeea.edu.cn/c/2023-07-25/489286.html,https://file.hebeea.edu.cn/files/article/2023/07/20230725082954_586.xlsx,xlsx,discovered,normalize_data,官方 XLSX；header-row=3
